29,603355,莱克电气,"预计2022年1-9月归属于上市公司股东的净利润盈利:80,000万元至87,000万元,同比上年增长:67.45%至82.1%,同比上年增长32,223.49万元至39,223.49万元。",67.45% ～ 82.10%,预增,4.78 亿,10-Oct
30,688293,奥浦迈,"预计2022年1-9月归属于上市公司股东的净利润盈利:7,700万元至8,500万元,同比上年增长:63.08%至80.02%。",63.08% ～ 80.02%,预增,4722 万,09-Jan
31,688035,德邦科技,"预计2022年1-9月归属于上市公司股东的净利润盈利:8,000万元至9,100万元,同比上年增长:60.35%至82.4%。",60.35% ～ 82.40%,预增,-,Sep-16
32,688426,康为世纪,"预计2022年1-9月归属于上市公司股东的净利润盈利:14,500万元至15,000万元,同比上年增长:64.47%至70.14%。",64.47% ～ 70.14%,预增,-,Sep-29
33,601872,招商轮船,"预计2022年1-9月归属于上市公司股东的净利润盈利:294,600万元至333,500万元,同比上年增长:59%至75%,同比上年增长136,600万元至175,500万元。",59.00% ～ 75.00%,预增,15.80 亿,10-Oct
34,605123,派克新材,"预计2022年1-9月归属于上市公司股东的净利润盈利约:35,100万元,同比上年增长:65%左右,同比上年增长13,767万元左右。",65.00%,预增,2.13 亿,Sep-14
35,688392,骄成超声,"预计2022年1-9月归属于上市公司股东的净利润盈利:7,470万元至8,115万元,同比上年增长:57.52%至71.13%。",57.52% ～ 71.13%,预增,-,Sep-26
36,688351,微电生理,"预计2022年1-9月归属于上市公司股东的净利润亏损:100万元至300万元,同比上年增长:45.48%至81.83%。",45.48% ～ 81.83%,减亏,-,Aug-25
37,2908,德生科技,"预计2022年1-9月归属于上市公司股东的净利润盈利:5,851.95万元至6,418.26万元,同比上年增长:55%至70%。",55.00% ～ 70.00%,预增,3775 万,Sep-27
38,2422,科伦药业,"预计2022年1-9月归属于上市公司股东的净利润盈利:131,485.45万元至144,209.85万元,同比上年增长:55%至70%。",55.00% ～ 70.00%,预增,8.48 亿,Sep-16
39,688387,信科移动,"预计2022年1-9月归属于上市公司股东的净利润亏损:30,564.83万元至33,564.83万元,同比上年增长:60.03%至63.61%。",60.03% ～ 63.61%,减亏,-8.22 亿,09-23
