"序号	股票代码	股票简称	单季度：净利润环比增长率	流通市值	流通市值2	"
"=""63""	=""002092""	=""中泰化学""	=""94.75""	=""166.07""	=""166.07""	"
"=""64""	=""002100""	=""天康生物""	=""50.70""	=""124.73""	=""124.73""	"
"=""65""	=""002101""	=""广东鸿图""	=""102.55""	=""108.67""	=""108.67""	"
"=""66""	=""002124""	=""天邦食品""	=""287.13""	=""104.39""	=""104.39""	"
"=""67""	=""002131""	=""利欧股份""	=""313.21""	=""102.10""	=""102.10""	"
"=""68""	=""002139""	=""拓邦股份""	=""63.24""	=""107.50""	=""107.50""	"
"=""69""	=""002155""	=""湖南黄金""	=""82.88""	=""144.35""	=""144.35""	"
"=""70""	=""002158""	=""汉钟精机""	=""69.73""	=""121.92""	=""121.92""	"
"=""71""	=""002171""	=""楚江新材""	=""53.75""	=""106.60""	=""106.60""	"
"=""72""	=""002180""	=""纳思达""	=""52.86""	=""507.20""	=""507.20""	"
"=""73""	=""002183""	=""怡亚通""	=""71.59""	=""131.55""	=""131.55""	"
"=""74""	=""002185""	=""华天科技""	=""85.41""	=""259.50""	=""259.50""	"
"=""75""	=""002219""	=""新里程""	=""2178.55""	=""119.67""	=""119.67""	"
"=""76""	=""002230""	=""科大讯飞""	=""40.25""	=""690.69""	=""690.69""	"
"=""77""	=""002236""	=""大华股份""	=""248.29""	=""251.76""	=""251.76""	"
"=""78""	=""002240""	=""盛新锂能""	=""85.55""	=""326.73""	=""326.73""	"
"=""79""	=""002244""	=""滨江集团""	=""231.03""	=""280.84""	=""280.84""	"
"=""80""	=""002250""	=""联化科技""	=""93.30""	=""164.52""	=""164.52""	"
"=""81""	=""002268""	=""卫士通""	=""227.42""	=""230.27""	=""230.27""	"
"=""82""	=""002271""	=""东方雨虹""	=""104.65""	=""524.07""	=""524.07""	"
"=""83""	=""002287""	=""奇正藏药""	=""66.70""	=""112.80""	=""112.80""	"
"=""84""	=""002299""	=""圣农发展""	=""49.85""	=""238.07""	=""238.07""	"
"=""85""	=""002311""	=""海大集团""	=""242.84""	=""999.65""	=""999.65""	"
"=""86""	=""002312""	=""川发龙蟒""	=""88.32""	=""149.56""	=""149.56""	"
"=""87""	=""002353""	=""杰瑞股份""	=""255.63""	=""202.59""	=""202.59""	"
"=""88""	=""002372""	=""伟星新材""	=""109.50""	=""299.29""	=""299.29""	"
"=""89""	=""002373""	=""千方科技""	=""164.83""	=""114.14""	=""114.14""	"
"=""90""	=""002396""	=""星网锐捷""	=""55.79""	=""105.75""	=""105.75""	"
"=""91""	=""002402""	=""和而泰""	=""101.77""	=""117.70""	=""117.70""	"
"=""92""	=""002410""	=""广联达""	=""157.26""	=""450.66""	=""450.66""	"
"=""93""	=""002422""	=""科伦药业""	=""125.58""	=""246.84""	=""246.84""	"
"=""94""	=""002423""	=""中粮资本""	=""303.33""	=""145.62""	=""145.62""	"
"=""95""	=""002444""	=""巨星科技""	=""152.77""	=""208.34""	=""208.34""	"
"=""96""	=""002461""	=""珠江啤酒""	=""224.06""	=""167.55""	=""167.55""	"
"=""97""	=""002465""	=""海格通信""	=""424.37""	=""176.00""	=""176.00""	"
"=""98""	=""002484""	=""江海股份""	=""55.00""	=""190.21""	=""190.21""	"
"=""99""	=""002487""	=""大金重工""	=""82.22""	=""218.75""	=""218.75""	"
"=""100""	=""002498""	=""汉缆股份""	=""172.17""	=""129.08""	=""129.08""	"
"=""101""	=""002500""	=""山西证券""	=""292.71""	=""181.64""	=""181.64""	"
"=""102""	=""002507""	=""涪陵榨菜""	=""41.04""	=""238.55""	=""238.55""	"
"=""103""	=""002518""	=""科士达""	=""202.74""	=""258.82""	=""258.82""	"
"=""104""	=""002531""	=""天顺风能""	=""598.18""	=""223.75""	=""223.75""	"
"=""105""	=""002534""	=""西子洁能""	=""49.58""	=""114.96""	=""114.96""	"
"=""106""	=""002541""	=""鸿路钢构""	=""105.71""	=""163.07""	=""163.07""	"
"=""107""	=""002544""	=""普天科技""	=""149.84""	=""125.53""	=""125.53""	"
"=""108""	=""002568""	=""百润股份""	=""40.94""	=""193.24""	=""193.24""	"
"=""109""	=""002572""	=""索菲亚""	=""175.12""	=""107.25""	=""107.25""	"
"=""110""	=""002595""	=""豪迈科技""	=""42.08""	=""123.21""	=""123.21""	"
"=""111""	=""002617""	=""露笑科技""	=""47.97""	=""125.48""	=""125.48""	"
"=""112""	=""002625""	=""光启技术""	=""222.43""	=""221.01""	=""221.01""	"
"=""113""	=""002673""	=""西部证券""	=""4305.50""	=""239.57""	=""239.57""	"
"=""114""	=""002675""	=""东诚药业""	=""105.70""	=""100.85""	=""100.85""	"
"=""115""	=""002683""	=""广东宏大""	=""510.52""	=""172.44""	=""172.44""	"
"=""116""	=""002705""	=""新宝股份""	=""73.23""	=""145.83""	=""145.83""	"
"=""117""	=""002736""	=""国信证券""	=""219.31""	=""759.13""	=""759.13""	"
"=""118""	=""002791""	=""坚朗五金""	=""109.23""	=""142.92""	=""142.92""	"
"=""119""	=""002797""	=""第一创业""	=""199.22""	=""225.22""	=""225.22""	"
"=""120""	=""002821""	=""凯莱英""	=""148.44""	=""454.06""	=""454.06""	"
"=""121""	=""002851""	=""麦格米特""	=""107.90""	=""118.54""	=""118.54""	"
"=""122""	=""002865""	=""钧达股份""	=""497.93""	=""259.72""	=""259.72""	"
"=""123""	=""002895""	=""川恒股份""	=""159.52""	=""118.11""	=""118.11""	"
"=""124""	=""002911""	=""佛燃能源""	=""194.36""	=""110.06""	=""110.06""	"
"=""125""	=""002926""	=""华西证券""	=""370.39""	=""192.41""	=""192.41""	"
"=""126""	=""002938""	=""鹏鼎控股""	=""40.46""	=""580.21""	=""580.21""	"
"=""127""	=""002939""	=""长城证券""	=""831.33""	=""253.86""	=""253.86""	"
"=""128""	=""002948""	=""青岛银行""	=""58.58""	=""102.21""	=""102.21""	"
"=""129""	=""002960""	=""青鸟消防""	=""137.52""	=""106.29""	=""106.29""	"
"=""130""	=""003022""	=""联泓新科""	=""223.89""	=""122.62""	=""122.62""	"
"=""131""	=""300001""	=""特锐德""	=""124.66""	=""144.18""	=""144.18""	"
"=""132""	=""300012""	=""华测检测""	=""99.63""	=""309.92""	=""309.92""	"
"=""133""	=""300033""	=""同花顺""	=""233.46""	=""210.35""	=""210.35""	"
"=""134""	=""300054""	=""鼎龙股份""	=""84.41""	=""172.85""	=""172.85""	"
"=""135""	=""300115""	=""长盈精密""	=""61.35""	=""128.25""	=""128.25""	"
"=""136""	=""300142""	=""沃森生物""	=""552.06""	=""578.01""	=""578.01""	"
"=""137""	=""300144""	=""宋城演艺""	=""101.35""	=""274.52""	=""274.52""	"
"=""138""	=""300203""	=""聚光科技""	=""58.04""	=""139.02""	=""139.02""	"
"=""139""	=""300207""	=""欣旺达""	=""206.58""	=""365.69""	=""365.69""	"
"=""140""	=""300224""	=""正海磁材""	=""46.60""	=""100.51""	=""100.51""	"
"=""141""	=""300251""	=""光线传媒""	=""69.22""	=""197.89""	=""197.89""	"
"=""142""	=""300253""	=""卫宁健康""	=""43.99""	=""130.14""	=""130.14""	"
"=""143""	=""300294""	=""博雅生物""	=""68.13""	=""136.30""	=""136.30""	"
"=""144""	=""300298""	=""三诺生物""	=""121.77""	=""123.86""	=""123.86""	"
"=""145""	=""300316""	=""晶盛机电""	=""69.46""	=""815.39""	=""815.39""	"
"=""146""	=""300339""	=""润和软件""	=""68.00""	=""124.13""	=""124.13""	"
"=""147""	=""300363""	=""博腾股份""	=""127.55""	=""210.94""	=""210.94""	"
"=""148""	=""300376""	=""易事特""	=""49.86""	=""150.77""	=""150.77""	"
"=""149""	=""300393""	=""中来股份""	=""59.90""	=""147.87""	=""147.87""	"
"=""150""	=""300395""	=""菲利华""	=""76.48""	=""284.12""	=""284.12""	"
"=""151""	=""300416""	=""苏试试验""	=""159.04""	=""110.22""	=""110.22""	"
"=""152""	=""300433""	=""蓝思科技""	=""132.70""	=""457.86""	=""457.86""	"
"=""153""	=""300438""	=""鹏辉能源""	=""58.37""	=""269.39""	=""269.39""	"
"=""154""	=""300454""	=""深信服""	=""66.81""	=""270.41""	=""270.41""	"
"=""155""	=""300457""	=""赢合科技""	=""313.46""	=""131.70""	=""131.70""	"
"=""156""	=""300487""	=""蓝晓科技""	=""47.48""	=""142.51""	=""142.51""	"
"=""157""	=""300604""	=""长川科技""	=""86.53""	=""255.47""	=""255.47""	"
"=""158""	=""300613""	=""富瀚微""	=""41.97""	=""118.84""	=""118.84""	"
"=""159""	=""300633""	=""开立医疗""	=""142.30""	=""198.01""	=""198.01""	"
"=""160""	=""300666""	=""江丰电子""	=""309.67""	=""156.40""	=""156.40""	"
"=""161""	=""300672""	=""国科微""	=""290.88""	=""114.71""	=""114.71""	"
"=""162""	=""300682""	=""朗新科技""	=""399.16""	=""220.07""	=""220.07""	"
"=""163""	=""300699""	=""光威复材""	=""45.19""	=""422.62""	=""422.62""	"
"=""164""	=""300748""	=""金力永磁""	=""82.87""	=""232.53""	=""232.53""	"
"=""165""	=""300761""	=""立华股份""	=""112.64""	=""117.77""	=""117.77""	"
"=""166""	=""300763""	=""锦浪科技""	=""42.26""	=""660.49""	=""660.49""	"
"=""167""	=""300850""	=""新强联""	=""47.09""	=""175.23""	=""175.23""	"
"=""168""	=""300910""	=""瑞丰新材""	=""83.49""	=""100.92""	=""100.92""	"
"=""169""	=""300919""	=""中伟股份""	=""60.69""	=""155.81""	=""155.81""	"
"=""170""	=""300957""	=""贝泰妮""	=""70.99""	=""373.98""	=""373.98""	"
"=""171""	=""300999""	=""金龙鱼""	=""781.63""	=""234.37""	=""234.37""	"
"=""172""	=""301029""	=""怡合达""	=""55.16""	=""146.23""	=""146.23""	"
"=""173""	=""600008""	=""首创环保""	=""87.29""	=""190.86""	=""190.86""	"
"=""174""	=""600026""	=""中远海能""	=""105.96""	=""519.74""	=""519.74""	"
"=""175""	=""600027""	=""华电国际""	=""88.50""	=""485.08""	=""485.08""	"
"=""176""	=""600056""	=""中国医药""	=""43.21""	=""180.04""	=""180.04""	"
"=""177""	=""600057""	=""厦门象屿""	=""88.19""	=""178.14""	=""178.14""	"
"=""178""	=""600061""	=""国投资本""	=""882.18""	=""390.66""	=""390.66""	"
"=""179""	=""600066""	=""宇通客车""	=""142.15""	=""155.20""	=""155.20""	"
"=""180""	=""600098""	=""广州发展""	=""73.04""	=""166.11""	=""166.11""	"
"=""181""	=""600100""	=""同方股份""	=""119.23""	=""119.45""	=""119.45""	"
"=""182""	=""600109""	=""国金证券""	=""231.77""	=""231.06""	=""231.06""	"
"=""183""	=""600116""	=""三峡水利""	=""8435.22""	=""142.01""	=""142.01""	"
"=""184""	=""600118""	=""中国卫星""	=""239.04""	=""232.36""	=""232.36""	"
"=""185""	=""600120""	=""浙江东方""	=""205.65""	=""104.27""	=""104.27""	"
"=""186""	=""600129""	=""太极集团""	=""492.71""	=""134.43""	=""134.43""	"
"=""187""	=""600150""	=""中国船舶""	=""173.80""	=""553.41""	=""553.41""	"
"=""188""	=""600151""	=""航天机电""	=""261.44""	=""127.65""	=""127.65""	"
"=""189""	=""600153""	=""建发股份""	=""104.87""	=""392.68""	=""392.68""	"
"=""190""	=""600155""	=""华创阳安""	=""369.86""	=""118.99""	=""118.99""	"
"=""191""	=""600160""	=""巨化股份""	=""207.38""	=""374.99""	=""374.99""	"
"=""192""	=""600161""	=""天坛生物""	=""101.48""	=""332.69""	=""332.69""	"
"=""193""	=""600172""	=""黄河旋风""	=""43.84""	=""100.44""	=""100.44""	"
"=""194""	=""600196""	=""复星医药""	=""89.21""	=""594.44""	=""594.44""	"
"=""195""	=""600219""	=""南山铝业""	=""52.77""	=""359.71""	=""359.71""	"
"=""196""	=""600225""	=""卓朗科技""	=""111.31""	=""103.29""	=""103.29""	"
"=""197""	=""600236""	=""桂冠电力""	=""49.80""	=""461.91""	=""461.91""	"
"=""198""	=""600271""	=""航天信息""	=""123.04""	=""180.84""	=""180.84""	"
"=""199""	=""600277""	=""亿利洁能""	=""204.84""	=""153.82""	=""153.82""	"
"=""200""	=""600316""	=""洪都航空""	=""75.28""	=""161.14""	=""161.14""	"
"=""201""	=""600320""	=""振华重工""	=""71.39""	=""104.64""	=""104.64""	"
"=""202""	=""600323""	=""瀚蓝环境""	=""139.77""	=""154.10""	=""154.10""	"
"=""203""	=""600325""	=""华发股份""	=""109.56""	=""208.54""	=""208.54""	"
"=""204""	=""600338""	=""西藏珠峰""	=""387.98""	=""203.87""	=""203.87""	"
"=""205""	=""600339""	=""中油工程""	=""206.24""	=""158.56""	=""158.56""	"
"=""206""	=""600348""	=""华阳股份""	=""46.41""	=""439.39""	=""439.39""	"
"=""207""	=""600352""	=""浙江龙盛""	=""89.29""	=""293.13""	=""293.13""	"
"=""208""	=""600362""	=""江西铜业""	=""40.88""	=""316.27""	=""316.27""	"
"=""209""	=""600363""	=""联创光电""	=""90.12""	=""111.72""	=""111.72""	"
"=""210""	=""600369""	=""西南证券""	=""302.57""	=""207.18""	=""207.18""	"
"=""211""	=""600372""	=""中航电子""	=""58.48""	=""355.95""	=""355.95""	"
"=""212""	=""600383""	=""金地集团""	=""314.60""	=""518.73""	=""518.73""	"
"=""213""	=""600395""	=""盘江股份""	=""46.48""	=""140.35""	=""140.35""	"
"=""214""	=""600403""	=""大有能源""	=""118.63""	=""120.50""	=""120.50""	"
"=""215""	=""600409""	=""三友化工""	=""101.52""	=""126.54""	=""126.54""	"
"=""216""	=""600416""	=""湘电股份""	=""49.67""	=""125.03""	=""125.03""	"
"=""217""	=""600435""	=""北方导航""	=""136.27""	=""114.53""	=""114.53""	"
"=""218""	=""600481""	=""双良节能""	=""81.61""	=""253.04""	=""253.04""	"
"=""219""	=""600482""	=""中国动力""	=""136.11""	=""301.68""	=""301.68""	"
