序,股票代码,股票简称,A股市值,A股市值
160,002138, 顺络电子,248.27,248.27
161,002139, 拓邦股份,185.53,185.53
162,002145, 中核钛白,164.52,164.52
163,002151, 北斗星通,139.14,139.14
164,002153, 石基信息,226.8,226.8
165,002155, 湖南黄金,210.24,210.24
166,002157, 正邦科技,263.63,263.63
167,002171, 楚江新材,116.61,116.61
168,002176, 江特电机,123.88,123.88
169,002182, 宝武镁业,120.3,120.3
170,002183, 怡 亚 通,123.88,123.88
171,002195, 岩山科技,271.01,271.01
172,002203, 海亮股份,197.63,197.63
173,002212, 天融信,104.5,104.5
174,002217, *ST合泰,155.57,155.57
175,002221, 东华能源,152.57,152.57
176,002222, 福晶科技,159.09,159.09
177,002226, 江南化工,144.1,144.1
178,002237, 恒邦股份,119.97,119.97
179,002239, 奥特佳,101.61,101.61
180,002240, 盛新锂能,121.28,121.28
181,002243, 力合科创,105.08,105.08
182,002244, 滨江集团,294.03,294.03
183,002245, 蔚蓝锂芯,145.62,145.62
184,002249, 大洋电机,139.88,139.88
185,002251, ST步步高,109.7,109.7
186,002262, 恩华药业,215.73,215.73
187,002265, 建设工业,270.35,270.35
188,002266, 浙富控股,163.89,163.89
189,002268, 电科网安,151.04,151.04
190,002270, 华明装备,143.31,143.31
191,002271, 东方雨虹,299.67,299.67
192,002287, 奇正藏药,111.85,111.85
193,002292, 奥飞娱乐,140.77,140.77
194,002299, 圣农发展,169.97,169.97
195,002310, *ST东园,103.79,103.79
196,002312, 川发龙蟒,249.2,249.2
197,002315, 焦点科技,141.39,141.39
198,002318, 久立特材,234.03,234.03
199,002320, 海峡股份,136.19,136.19
200,002324, 普利特,107.01,107.01
201,002335, 科华数据,189.61,189.61
202,002351, 漫步者,140.83,140.83
203,002354, 天娱数科,135.01,135.01
204,002368, 太极股份,172.82,172.82
205,002372, 伟星新材,186.59,186.59
206,002373, 千方科技,164.81,164.81
207,002379, 宏创控股,106.02,106.02
208,002385, 大北农,177.59,177.59
209,002387, 维信诺,156.44,156.44
210,002389, 航天彩虹,175.07,175.07
211,002396, 星网锐捷,123.96,123.96
212,002399, 海普瑞,127.96,127.96
213,002400, 省广集团,160.04,160.04
214,002402, 和而泰,177.64,177.64
215,002405, 四维图新,232.2,232.2
216,002407, 多氟多,143.33,143.33
217,002408, 齐翔腾达,136.46,136.46
218,002409, 雅克科技,278.85,278.85
219,002410, 广联达,221.2,221.2
220,002416, 爱施德,162.47,162.47
221,002426, 胜利精密,109.56,109.56
222,002428, 云南锗业,129.97,129.97
223,002429, 兆驰股份,239.02,239.02
224,002430, 杭氧股份,203.67,203.67
225,002432, 九安医疗,210.88,210.88
226,002436, 兴森科技,216.78,216.78
227,002439, 启明星辰,219.31,219.31
228,002461, 珠江啤酒,202.08,202.08
229,002465, 海格通信,272.26,272.26
230,002468, 申通快递,166.4,166.4
231,002484, 江海股份,189.92,189.92
232,002487, 大金重工,124.3,124.3
233,002488, 金固股份,107.71,107.71
234,002497, 雅化集团,142.34,142.34
235,002498, 汉缆股份,107.12,107.12
236,002500, 山西证券,218.98,218.98
237,002506, 协鑫集成,146.84,146.84
238,002507, 涪陵榨菜,152.2,152.2
239,002508, 老板电器,198.55,198.55
240,002518, 科士达,151.49,151.49
241,002531, 天顺风能,130.27,130.27
242,002541, 鸿路钢构,115.58,115.58
243,002544, 普天科技,137.88,137.88
244,002557, 洽洽食品,138.56,138.56
245,002563, 森马服饰,164.88,164.88
246,002568, 百润股份,247.86,247.86
247,002572, 索菲亚,160.06,160.06
248,002583, 海能达,245.49,245.49
249,002597, 金禾实业,131.38,131.38
250,002603, 以岭药业,237.57,237.57
251,002605, 姚记科技,117.13,117.13
252,002607, 中公教育,226.96,226.96
253,002608, 江苏国信,278.07,278.07
254,002611, 东方精工,157.94,157.94
255,002617, 露笑科技,151.34,151.34
256,002624, 完美世界,223.87,223.87
257,002635, 安洁科技,106.47,106.47
258,002654, 万润科技,102.96,102.96
259,002668, TCL智家,131.39,131.39
260,002670, 国盛金控,264.33,264.33
261,002675, 东诚药业,114.62,114.62
262,002681, 奋达科技,156.89,156.89
