?,????,????,A???,A???,???:????????
159,600258, ????,149.07,149.07,56.49
160,600269, ????,124.94,124.94,109.97
161,600348, ????,244.23,244.23,37.26
162,600369, ????,289.73,289.73,33.03
163,600378, ????,364.18,364.18,122.47
164,600383, ????,206.77,206.77,88.52
165,600422, ????,122.78,122.78,39.09
166,600435, ????,150.3,150.3,121.6
167,600452, ????,144.59,144.59,152.3
168,600481, ????,102.31,102.31,91.23
169,600497, ????,282.06,282.06,38.43
170,600499, ????,155.35,155.35,92.71
171,600516, ????,182.78,182.78,1869.86
172,600536, ????,367.53,367.53,49.71
173,600546, ????,219.26,219.26,33.14
174,600548, ???,175.72,175.72,91.86
175,600550, ????,136.83,136.83,153.6
176,600552, ????,104,104,127.09
177,600559, ????,171.79,171.79,49.77
178,600580, ????,269.51,269.51,42
179,600603, ST??,112.53,112.53,167.7
180,600621, ????,149.37,149.37,67.54
181,600633, ????,129.47,129.47,1295.97
182,600641, ????,137.92,137.92,110.15
183,600648, ???,108.81,108.81,183.74
184,600663, ???,355.67,355.67,175.68
185,600688, ????,209.6,209.6,115.83
186,600702, ????,178.11,178.11,77.81
187,600732, ????,192.08,192.08,33.11
188,600763, ????,183.43,183.43,43.09
189,600776, ????,101.81,101.81,131.26
190,600779, ???,225.81,225.81,1472.63
191,600820, ????,200.28,200.28,99.05
192,600827, ????,156.11,156.11,9193.92
193,600848, ????,233.41,233.41,182.76
194,600850, ????,155.36,155.36,105.64
195,600864, ????,132.53,132.53,350.54
196,600867, ????,150.61,150.61,136.86
197,600869, ????,103.87,103.87,107.92
198,600872, ????,165.42,165.42,103.48
199,600879, ????,273.18,273.18,142.72
200,600894, ????,114.83,114.83,41.38
201,600895, ????,373.23,373.23,93.42
202,600933, ???,174.42,174.42,31.6
203,601069, ????,111.31,111.31,83.07
204,601083, ????,122.68,122.68,107.59
205,601096, ????,111.29,111.29,30.34
206,601099, ???,266.52,266.52,102.73
207,601106, ????,180.36,180.36,49.5
208,601107, ????,107.06,107.06,37.4
209,601128, ????,223.41,223.41,55.94
210,601158, ????,221.76,221.76,34.05
211,601179, ????,373.16,373.16,34.56
212,601187, ????,146.47,146.47,54.18
213,601198, ????,343.29,343.29,69.24
214,601399, ????,208.47,208.47,99.28
215,601528, ????,109.29,109.29,33.77
216,601595, ????,116.98,116.98,76.51
217,601828, ???,104.43,104.43,30.2
218,601880, ????,296.2,296.2,343.89
219,601900, ????,144.42,144.42,36.59
220,601966, ????,264.89,264.89,62.4
221,601992, ????,139.26,139.26,167.17
222,603039, ????,153.76,153.76,99.33
223,603083, ????,106.9,106.9,30.67
224,603156, ????,277.51,277.51,32.23
225,603179, ????,232.93,232.93,33.86
226,603185, ????,104.77,104.77,53.5
227,603283, ????,118.77,118.77,423.41
228,603290, ????,201.15,201.15,31.01
229,603317, ????,144.96,144.96,149.08
230,603358, ????,145.63,145.63,213.1
231,603360, ????,120.31,120.31,35.38
232,603596, ???,277.25,277.25,30.8
233,603786, ???,247.1,247.1,48.41
234,603833, ????,398.39,398.39,34.6
235,603885, ????,291.15,291.15,560.34
236,603899, ????,262.37,262.37,50.48
237,603979, ???,248.95,248.95,38.89
238,605296, ????,133.36,133.36,179.45
239,605358, ???,153.41,153.41,63.19
240,688002, ????,226.64,226.64,201.3
241,688005, ????,152.4,152.4,102.07
242,688017, ????,265.66,265.66,35.53
243,688097, ????,119.92,119.92,30.37
244,688107, ????,103.3,103.3,46.18
245,688127, ????,109.63,109.63,459.54
246,688147, ????,112.86,112.86,174.75
247,688165, ???-U,170.83,170.83,106.9
248,688166, ????,130.63,130.63,216.06
249,688252, ???,100.33,100.33,32.94
250,688278, ????,329.02,329.02,42.31
251,688322, ????-UW,208.72,208.72,69.46
252,688336, ????,137.97,137.97,176.32
253,688343, ????-U,171.53,171.53,31.85
254,688347, ????,186.95,186.95,152.11
255,688349, ????,330.27,330.27,49.76
256,688361, ????,285.66,285.66,115.77
257,688380, ????,124.43,124.43,381.27
258,688408, ???,130.59,130.59,143.06
259,688433, ????,105.2,105.2,64.58
260,688522, ????,108.25,108.25,1113.33
261,688568, ????,266.5,266.5,37.01
262,688582, ????,220.25,220.25,40.61
263,688596, ????,105.69,105.69,169.87
264,688631, ????,143.69,143.69,112.91
265,688660, ????,119.33,119.33,48.45
266,688676, ????,181.6,181.6,42.09
267,688692, ????,280.82,280.82,51.59
268,688702, ????-U,338.66,338.66,62.01
269,688772, ????,173.6,173.6,125.49
270,688798, ????,168.01,168.01,55.27
271,688800, ???,107.11,107.11,73.59
272,830799, ????,123.56,123.56,125.74
273,900912, ??B?,108.81,108.81,183.74
274,900923, ??B?,156.11,156.11,9193.92
275,900928, ??B?,233.41,233.41,182.76
276,900932, ??B?,355.67,355.67,175.68
277,900941, ??B?,101.81,101.81,131.26
