序,股票代码,股票简称,A股市值,A股市值
1,000006, 深振业Ａ,91.26,91.26
2,000012, 南  玻Ａ,99.44,99.44
3,000016, 深康佳Ａ,77.28,77.28
4,000048, 京基智农,90.41,90.41
5,000049, 德赛电池,90.43,90.43
6,000058, 深 赛 格,82.13,82.13
7,000059, 华锦股份,77.41,77.41
8,000402, 金 融 街,86.68,86.68
9,000409, 云鼎科技,82.41,82.41
10,000420, 吉林化纤,98.85,98.85
11,000498, 山东路桥,93.35,93.35
12,000525, ST红太阳,79.57,79.57
13,000534, 万泽股份,76.22,76.22
14,000544, 中原环保,84.31,84.31
15,000557, 西部创业,81.52,81.52
16,000589, 贵州轮胎,77.76,77.76
17,000650, 仁和药业,78.26,78.26
18,000656, *ST金科,77.43,77.43
19,000672, 上峰水泥,75.32,75.32
20,000690, 宝新能源,91.6,91.6
21,000700, 模塑科技,75.64,75.64
22,000767, 晋控电力,83.08,83.08
23,000811, 冰轮环境,95.06,95.06
24,000815, 美利云,93.93,93.93
25,000821, 京山轻机,80.79,80.79
26,000848, 承德露露,91.26,91.26
27,000852, 石化机械,77.16,77.16
28,000885, 城发环境,84.63,84.63
29,000888, 峨眉山Ａ,81.78,81.78
30,000899, 赣能股份,90.35,90.35
31,000901, 航天科技,91.63,91.63
32,000912, 泸天化,78.4,78.4
33,000913, 钱江摩托,94.54,94.54
34,000922, 佳电股份,83.98,83.98
35,000928, 中钢国际,99.85,99.85
36,000949, 新乡化纤,81.11,81.11
37,000950, 重药控股,89.69,89.69
38,000962, 东方钽业,82.92,82.92
39,000990, 诚志股份,94.67,94.67
40,001322, 箭牌家居,80.2,80.2
41,001337, 四川黄金,93.87,93.87
42,001356, 富岭股份,81.5,81.5
43,002004, 华邦健康,80.19,80.19
44,002006, 精工科技,89.09,89.09
45,002023, 海特高新,75.94,75.94
46,002030, 达安基因,86.03,86.03
47,002034, 旺能环境,78.35,78.35
48,002041, 登海种业,90.38,90.38
49,002043, 兔 宝 宝,90.78,90.78
50,002046, 国机精工,90.79,90.79
51,002068, 黑猫股份,88.54,88.54
52,002073, 软控股份,96.72,96.72
53,002077, 大港股份,82.35,82.35
54,002079, 苏州固锝,82.21,82.21
55,002081, 金 螳 螂,91.87,91.87
56,002097, 山河智能,85,85
57,002099, 海翔药业,81.75,81.75
58,002100, 天康生物,87.1,87.1
59,002101, 广东鸿图,90.66,90.66
60,002102, 能特科技,81.35,81.35
61,002106, 莱宝高科,82.02,82.02
62,002115, 三维通信,78.26,78.26
63,002122, 汇洲智能,95.42,95.42
64,002140, 东华科技,76.11,76.11
65,002163, 海南发展,78.92,78.92
66,002174, 游族网络,86.65,86.65
67,002192, 融捷股份,81.14,81.14
68,002194, 武汉凡谷,84.18,84.18
69,002212, 天融信,95.65,95.65
70,002215, 诺 普 信,96.8,96.8
71,002216, 三全食品,99.61,99.61
72,002219, 新里程,86.72,86.72
73,002232, 启明信息,78.07,78.07
74,002233, 塔牌集团,97.05,97.05
75,002242, 九阳股份,78.62,78.62
76,002254, 泰和新材,91.47,91.47
77,002267, 陕天然气,90.75,90.75
78,002274, 华昌化工,79.05,79.05
79,002275, 桂林三金,83.32,83.32
80,002277, 友阿股份,75.84,75.84
81,002283, 天润工业,80.1,80.1
82,002302, 西部建设,77.26,77.26
83,002309, *ST中利,79.7,79.7
84,002317, 众生药业,94.35,94.35
85,002326, 永太科技,98.46,98.46
86,002338, 奥普光电,98.42,98.42
87,002364, 中恒电气,83.97,83.97
88,002378, 章源钨业,84.7,84.7
89,002421, 达实智能,80.79,80.79
90,002440, 闰土股份,82.95,82.95
91,002467, 二六三,80.18,80.18
92,002489, 浙江永强,78.95,78.95
93,002501, 利源股份,78.45,78.45
94,002511, 中顺洁柔,85.44,85.44
95,002516, 旷达科技,79.28,79.28
96,002526, 山东矿机,77.55,77.55
97,002527, 新时达,99.99,99.99
98,002530, 金财互联,79.4,79.4
99,002533, 金杯电工,82.13,82.13
100,002536, 飞龙股份,89.61,89.61
101,002539, 云图控股,97.83,97.83
102,002540, 亚太科技,81.07,81.07
103,002543, 万和电气,87.45,87.45
104,002545, 东方铁塔,97.04,97.04
105,002553, 南方精工,97.23,97.23
106,002588, 史丹利,88.12,88.12
107,002626, 金达威,92.04,92.04
108,002649, 博彦科技,78.49,78.49
109,002697, 红旗连锁,75.62,75.62
110,002703, 浙江世宝,78.4,78.4
111,002706, 良信股份,99.28,99.28
112,002707, 众信旅游,83.83,83.83
113,002727, 一心堂,75.66,75.66
114,002741, 光华科技,77.61,77.61
115,002761, 浙江建投,94.22,94.22
116,002777, 久远银海,75.07,75.07
117,002791, 坚朗五金,80.47,80.47
118,002792, 通宇通讯,77.84,77.84
119,002801, 微光股份,92.79,92.79
120,002819, 东方中科,78.94,78.94
121,002833, 弘亚数控,79.16,79.16
122,002859, 洁美科技,88.9,88.9
123,002897, 意华股份,84.55,84.55
124,002913, 奥士康,85.81,85.81
125,002928, 华夏航空,97.91,97.91
126,002947, 恒铭达,98.74,98.74
127,002960, 青鸟消防,91.74,91.74
128,002985, 北摩高科,81.74,81.74
129,002990, 盛视科技,77.9,77.9
130,002997, 瑞鹄模具,87.29,87.29
131,003006, 百亚股份,99.43,99.43
132,003039, 顺控发展,96.15,96.15
133,300036, 超图软件,80.67,80.67
134,300047, 天源迪科,87.56,87.56
135,300049, 福瑞股份,87.92,87.92
136,300053, 航宇微,91.64,91.64
137,300061, 旗天科技,80.79,80.79
138,300067, 安诺其,84.5,84.5
139,300072, 海新能科,78.48,78.48
140,300079, 数码视讯,79.08,79.08
141,300080, 易成新能,75.68,75.68
142,300087, 荃银高科,89.05,89.05
143,300098, 高新兴,93.84,93.84
144,300109, 新开源,80.41,80.41
145,300119, 瑞普生物,84.6,84.6
146,300127, 银河磁体,79.33,79.33
147,300128, 锦富技术,79.51,79.51
148,300131, 英唐智控,89.33,89.33
149,300134, 大富科技,95.09,95.09
150,300143, 盈康生命,75.99,75.99
151,300145, 中金环境,81.45,81.45
152,300151, 昌红科技,82.59,82.59
153,300177, 中海达,85.58,85.58
154,300183, 东软载波,88.08,88.08
155,300217, 东方电热,76.26,76.26
156,300222, 科大智能,84.29,84.29
157,300232, 洲明科技,80.63,80.63
158,300233, 金城医药,82.46,82.46
159,300248, 新开普,77.69,77.69
160,300252, 金信诺,78.66,78.66
161,300257, 开山股份,96.98,96.98
162,300258, 精锻科技,79.72,79.72
163,300278, 华昌达,91.69,91.69
164,300287, 飞利信,88.7,88.7
165,300293, 蓝英装备,77.2,77.2
166,300302, 同有科技,80.18,80.18
167,300303, 聚飞光电,97.31,97.31
168,300304, 云意电气,76.31,76.31
169,300307, 慈星股份,85.78,85.78
170,300327, 中颖电子,82.04,82.04
171,300328, 宜安科技,77.6,77.6
172,300341, 麦克奥迪,87.91,87.91
173,300342, 天银机电,76.17,76.17
174,300352, 北信源,77.13,77.13
175,300355, 蒙草生态,76.84,76.84
176,300360, 炬华科技,92.91,92.91
177,300376, ST易事特,81.49,81.49
178,300379, 东方通,88.32,88.32
179,300382, 斯莱克,85.23,85.23
180,300398, 飞凯材料,90.38,90.38
181,300401, 花园生物,76.52,76.52
182,300406, 九强生物,94.37,94.37
183,300416, 苏试试验,80.91,80.91
184,300451, 创业慧康,99.76,99.76
185,300455, 航天智装,97.47,97.47
186,300463, 迈克生物,82.62,82.62
187,300468, 四方精创,83.47,83.47
188,300469, 信息发展,87.48,87.48
189,300470, 中密控股,79.73,79.73
190,300503, 昊志机电,79.76,79.76
191,300527, 中船应急,83.09,83.09
192,300547, 川环科技,77.98,77.98
193,300579, 数字认证,76.52,76.52
194,300593, 新雷能,80.83,80.83
195,300622, 博士眼镜,81.13,81.13
196,300655, 晶瑞电材,86.88,86.88
197,300663, 科蓝软件,78.51,78.51
198,300680, 隆盛科技,99.5,99.5
199,300681, 英搏尔,89.11,89.11
200,300685, 艾德生物,89.74,89.74
201,300705, 九典制药,86.88,86.88
202,300708, 聚灿光电,80.94,80.94
203,300722, 新余国科,83.22,83.22
204,300723, 一品红,99.55,99.55
205,300769, 德方纳米,92.66,92.66
206,300770, 新媒股份,90.07,90.07
207,300790, 宇瞳光学,89.53,89.53
208,300806, 斯迪克,77.56,77.56
209,300841, 康华生物,84.57,84.57
210,300848, 美瑞新材,81.39,81.39
211,300855, 图南股份,91.37,91.37
212,300856, 科思股份,85.11,85.11
213,300861, 美畅股份,95.43,95.43
214,300872, 天阳科技,75.22,75.22
215,300893, 松原安全,78.11,78.11
216,300917, 特发服务,76.59,76.59
217,300918, 南山智尚,82.01,82.01
218,300975, 商络电子,77.01,77.01
219,301031, 中熔电气,80.98,80.98
220,301047, 义翘神州,78.39,78.39
221,301071, 力量钻石,87.61,87.61
222,301153, 中科江南,89.72,89.72
223,301160, 翔楼新材,83.51,83.51
224,301175, 中科环保,81.39,81.39
225,301191, 菲菱科思,75.62,75.62
226,301205, 联特科技,89.61,89.61
227,301215, 中汽股份,78.29,78.29
228,301217, 铜冠铜箔,94.76,94.76
229,301263, 泰恩康,84.04,84.04
230,301268, 铭利达,82.4,82.4
231,301293, 三博脑科,98.73,98.73
232,301325, 曼恩斯特,87.79,87.79
233,301327, 华宝新能,98.42,98.42
234,301339, 通行宝,90.78,90.78
235,301366, 一博科技,82.44,82.44
236,301368, 丰立智能,91.77,91.77
237,301376, 致欧科技,77.61,77.61
238,301381, 赛维时代,92.46,92.46
239,301382, 蜂助手,92.78,92.78
240,301383, 天键股份,77.9,77.9
241,301392, 汇成真空,82.95,82.95
242,301396, 宏景科技,85.96,85.96
243,301413, 安培龙,92.66,92.66
244,301458, 钧崴电子,97.15,97.15
245,301479, 弘景光电,76.89,76.89
246,301487, 盟固利,96.34,96.34
247,301500, 飞南资源,91.04,91.04
248,301508, 中机认检,75.96,75.96
249,301511, 德福科技,93.41,93.41
250,301525, 儒竞科技,75.86,75.86
251,301559, 中集环科,99.66,99.66
252,301565, 中仑新材,87.72,87.72
253,301571, 国科天成,76.81,76.81
254,301592, 六九一二,96.14,96.14
255,301596, 瑞迪智驱,76.7,76.7
256,301622, 英思特,88.55,88.55
257,301631, 壹连科技,83.51,83.51
258,600017, 日照港,98.11,98.11
259,600058, 五矿发展,83.61,83.61
260,600059, 古越龙山,77.21,77.21
261,600063, 皖维高新,98.71,98.71
262,600075, 新疆天业,76.66,76.66
263,600094, 大名城,75.13,75.13
264,600117, 西宁特钢,78.12,78.12
265,600125, 铁龙物流,75.85,75.85
266,600138, 中青旅,80.35,80.35
267,600158, 中体产业,80.02,80.02
268,600169, 太原重工,97.81,97.81
269,600199, 金种子酒,75.58,75.58
270,600201, 生物股份,82.8,82.8
271,600217, 中再资环,84.21,84.21
272,600223, 福瑞达,77.77,77.77
273,600226, 亨通股份,84.74,84.74
274,600252, 中恒集团,81.51,81.51
275,600266, 城建发展,99.01,99.01
276,600268, 国电南自,77.73,77.73
277,600292, 远达环保,90.73,90.73
278,600305, 恒顺醋业,82.95,82.95
279,600307, 酒钢宏兴,97.71,97.71
280,600326, 西藏天路,86.81,86.81
281,600330, 天通股份,90.78,90.78
282,600338, 西藏珠峰,96.45,96.45
283,600340, 华夏幸福,93.54,93.54
284,600345, 长江通信,87.35,87.35
285,600366, 宁波韵升,94.19,94.19
286,600368, 五洲交通,75.17,75.17
287,600370, 三房巷,75.59,75.59
288,600410, 华胜天成,97.15,97.15
289,600475, 华光环能,89,89
290,600478, 科力远,86.94,86.94
291,600490, 鹏欣资源,85.86,85.86
292,600501, 航天晨光,79.43,79.43
293,600502, 安徽建工,79.65,79.65
294,600507, 方大特钢,99.47,99.47
295,600508, 上海能源,89.83,89.83
296,600509, 天富能源,93.6,93.6
297,600531, 豫光金铅,81.99,81.99
298,600556, 天下秀,92.56,92.56
299,600557, 康缘药业,82.23,82.23
300,600576, 祥源文旅,96.81,96.81
301,600586, 金晶科技,79.01,79.01
302,600587, 新华医疗,99.37,99.37
303,600590, 泰豪科技,81.45,81.45
304,600592, 龙溪股份,77.71,77.71
305,600603, ST广物,90.45,90.45
306,600609, 金杯汽车,82.06,82.06
307,600610, 中毅达,75.36,75.36
308,600618, 氯碱化工,81.73,81.73
309,600619, 海立股份,97.7,97.7
310,600629, 华建集团,77.24,77.24
311,600635, 大众公用,94.57,94.57
312,600639, 浦东金桥,94.46,94.46
313,600640, 国脉文化,98.51,98.51
314,600643, 爱建集团,78.86,78.86
315,600654, 中安科,96.41,96.41
316,600664, 哈药股份,94.19,94.19
317,600666, 奥瑞德,79.87,79.87
318,600682, 南京新百,89.25,89.25
319,600694, 大商股份,75.92,75.92
320,600708, 光明地产,76.44,76.44
321,600715, *ST文投,89.32,89.32
322,600746, 江苏索普,91.79,91.79
323,600771, 广誉远,86.79,86.79
324,600773, 西藏城投,97.82,97.82
325,600783, 鲁信创投,93.27,93.27
326,600789, 鲁抗医药,97.69,97.69
327,600810, 神马股份,87.3,87.3
328,600903, 贵州燃气,77.28,77.28
329,600917, 重庆燃气,92.71,92.71
330,600929, 雪天盐业,89.75,89.75
331,600935, 华塑股份,86.28,86.28
332,600955, 维远股份,84.37,84.37
333,600963, 岳阳林纸,83.87,83.87
334,600975, 新五丰,80.09,80.09
335,600979, 广安爱众,76.2,76.2
336,601003, 柳钢股份,82.27,82.27
337,601089, 福元医药,75.26,75.26
338,601177, 杭齿前进,75.23,75.23
339,601208, 东材科技,82.68,82.68
340,601226, 华电科工,86.38,86.38
341,601339, 百隆东方,82.78,82.78
342,601500, 通用股份,88.06,88.06
343,601606, 长城军工,89.44,89.44
344,601619, 嘉泽新能,93.48,93.48
345,601678, 滨化股份,87.67,87.67
346,601686, 友发集团,81.25,81.25
347,601890, 亚星锚链,96.13,96.13
348,603013, 亚普股份,88.37,88.37
349,603043, 广州酒家,94.07,94.07
350,603053, 成都燃气,84.44,84.44
351,603057, 紫燕食品,81.44,81.44
